material,outdir,T_report_K,B_T_GPa
gen_0,xyx/results/ml_bulk_modulus400/qha_outputs/gen_0,300.0,
gen_1,xyx/results/ml_bulk_modulus400/qha_outputs/gen_1,300.0,
gen_10,xyx/results/ml_bulk_modulus400/qha_outputs/gen_10,300.0,
gen_11,xyx/results/ml_bulk_modulus400/qha_outputs/gen_11,300.0,
gen_12,xyx/results/ml_bulk_modulus400/qha_outputs/gen_12,300.0,
gen_13,xyx/results/ml_bulk_modulus400/qha_outputs/gen_13,300.0,
gen_14,xyx/results/ml_bulk_modulus400/qha_outputs/gen_14,300.0,
gen_15,xyx/results/ml_bulk_modulus400/qha_outputs/gen_15,300.0,
gen_2,xyx/results/ml_bulk_modulus400/qha_outputs/gen_2,300.0,
gen_3,xyx/results/ml_bulk_modulus400/qha_outputs/gen_3,300.0,
gen_4,xyx/results/ml_bulk_modulus400/qha_outputs/gen_4,300.0,
gen_5,xyx/results/ml_bulk_modulus400/qha_outputs/gen_5,300.0,
gen_6,xyx/results/ml_bulk_modulus400/qha_outputs/gen_6,300.0,
gen_7,xyx/results/ml_bulk_modulus400/qha_outputs/gen_7,300.0,
gen_8,xyx/results/ml_bulk_modulus400/qha_outputs/gen_8,300.0,
gen_9,xyx/results/ml_bulk_modulus400/qha_outputs/gen_9,300.0,
